Nome,Continuidade,Tipo,Espécie,Planeta Natal,Altura,Massa,Nascimento,Morte,Famílias,Pais,Parceiros,Irmãos,Filhos,Mestres,Aprendizes,Afiliação
Lassicar's parents,Legends,N/A,Human,N/A,N/A,N/A,N/A,"Between 3678 BBY, and 3642 BBY, Begeren",new,new,new,new,new,N/A,N/A,Begeren terrorist cell
Chazzar,Canon,Rebel,N/A,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Phoenix Cell; Phoenix Squadron
0-0-0's creator,Canon,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lene Kostana,Canon,Jedi,Altiri,N/A,N/A,N/A,c. 235 BBY,N/A,Lene Kostana's family,Galdrim; Sula,N/A,N/A,N/A,N/A,Sifo-Dyas,Jedi Order
Polnichk,Canon,New Republic,N/A,N/A,N/A,N/A,N/A,"4 ABY, over Akiva",new,new,new,new,new,N/A,N/A,New Republic; Jom Barell's unit
Wioslea,Canon,N/A,Vuvrian,Tatooine,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,N/A
Brador,Legends,N/A,Ewok,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Bright Tree Village tribe
Bendoh,Canon,N/A,Human,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,N/A
Mrs. Nereno,Canon,N/A,N/A,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,N/A
Rendal Panzoro,Canon,N/A,Human,Atterra Bravo,N/A,N/A,N/A,Sometime before the Atterra campaign,new,new,new,new,new,N/A,N/A,Firestone Islands Guards
Unidentified Cathar settler (Olaris),Legends,N/A,Cathar,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,N/A
Comali's son,Canon,N/A,N/A,N/A,N/A,N/A,N/A,By the time of the mission to Shu-Torun,new,new,new,new,new,N/A,N/A,Kingdom of Shu-Torun
Peller,Legends,Galactic Republic,Sullustan,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Galactic Republic; Republic Starfighter Corps
Comali,Canon,Bureaucrat,Human,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Kingdom of Shu-Torun
Unidentified Grand Marshal,Canon,N/A,Human,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Kingdom of Shu-Torun
Shenda Mol,Canon,Bounty hunter,Falleen,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Shenda Mol's followers
Tullek,Legends,N/A,Evocii,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,N/A
Voran Stalton,Legends,Criminal,N/A,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Stalton Syndicate
Kasso Trelek,Legends,N/A,Weequay,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,N/A
Endo Frant,Canon,Galactic Empire,Human,Alderaan,A quarter taller than 1.82 meters,N/A,"At least twenty years after 64 BBY, Alderaan","1 BBY, Death Star, Alderaan system",new,new,new,new,new,N/A,N/A,Galactic Empire; Imperial Navy's officer corps
Gorgen,Legends,Criminal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lorka,Legends,Hutt Cartel,Hutt,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Reog,Legends,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Reog's Regiment
Ellias Gorlin,Canon,N/A,N/A,Corellia,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Buckell Center
Unidentified bouncer,Legends,N/A,N/A,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,N/A
Jeela Brebtin,Canon,Galactic Empire,Human,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Galactic Empire; Squadron Five
Zin Graw,Canon,Galactic Empire,Human,N/A,N/A,N/A,N/A,"4 ABY, Kudo system",new,new,new,new,new,N/A,N/A,Galactic Empire; Imperial Navy's officer corps; Squadron Five
Ganem Kahi,Canon,Galactic Empire,Human,N/A,N/A,N/A,N/A,N/A,new,Ganem Kahi's father,new,new,new,N/A,N/A,Galactic Empire; Imperial Navy's officer corps; Squadron Five
Teso Broosh,Canon,Galactic Empire,Human,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Galactic Empire; Imperial Navy's officer corps; Squadron Five
Jannah,Canon,Resistance,Human,Kef Bir,1.68 meters (5ft 6in),N/A,Between 12–15 ABY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,First Order; Resistance; Company 77
Klaud,Canon,Resistance,Trodatome,N/A,1.89 meters,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Resistance
Gable Karius,Canon,Galactic Empire,Human,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Galactic Empire; Imperial Navy's officer corps; Fortress Vader Imperial garrison
Cere Junda,Canon,Jedi,Human,N/A,1.65 meters,N/A,N/A,"9 BBY, Jedha",N/A,N/A,N/A,N/A,N/A,Eno Cordova,Trilla Suduri; Cal Kestis; Numerous Narkis Anchorites,Jedi Order; Stinger Mantis crew; Hidden Path
Prauf,Canon,Corporate,Abednedo,Abednedo,N/A,N/A,N/A,"14 BBY, Bracca",new,new,new,new,new,N/A,N/A,Scrapper Guild
Carasynthia Dune,Canon,New Republic,Human,Alderaan,1.73 meters,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Alliance to Restore the Republic
Greef Karga,Canon,Bureaucrat,Human,Nevarro,1.88 meters,N/A,"c. 62 BBY, Nevarro",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Bounty Hunters' Guild
Trikking The Blind,Legends,Jedi,N/A,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Jedi Order
Dreamer (Sith Legend),Legends,N/A,N/A,N/A,N/A,N/A,N/A,c. 3400 BBY,new,new,new,new,new,N/A,N/A,N/A
Monster-Slayer,Legends,N/A,N/A,N/A,N/A,N/A,N/A,c. 3400 BBY,new,new,new,new,new,N/A,N/A,N/A
Gideon,Canon,Galactic Empire,Human,N/A,1.83 meters,N/A,N/A,"9 ABY, Mandalore",N/A,N/A,N/A,N/A,N/A,N/A,N/A,Galactic Empire; Imperial Security Bureau; Imperial remnant; Gideon's Imperial remnant
Penn Pershing,Canon,New Republic,Human,Penn Pershing's homeworld,1.7 meters,N/A,N/A,N/A,N/A,Penn Pershing's mother,N/A,N/A,N/A,N/A,N/A,Galactic Empire; Imperial Officer Corps; Imperial Remnants; Gideon's Imperial remnant; New Republic; New Republic Amnesty Program; Re-Integration Institute
Hennet Kayn,Canon,N/A,Gotal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rafa Martez,Canon,Rebel,Human,Coruscant,1.68 meters,N/A,N/A,N/A,Martez family,A father; A mother,N/A,Trace Martez,N/A,N/A,N/A,Clone Underground
Trace Martez,Canon,Rebel,Human,Coruscant,1.66 meters,N/A,N/A,N/A,Martez family,A father; A mother,N/A,Rafa Martez,N/A,N/A,N/A,Clone Underground
Totth'k,Legends,N/A,Gree,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,N/A
Brierly Ronan,Canon,Chiss Ascendancy,N/A,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Galactic Empire; Imperial Officer Corps; Imperial Military Department of Advanced Weapons Research; Chiss Ascendancy
Wanbo,Canon,Hutt Cartel,Hutt,Teth,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Hutt Clan
Thurible,Canon,Hutt Cartel,Human,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Hutt Clan
Pax Maripher,Canon,Criminal,Human,Coruscant,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,N/A
Darth Wrend,Canon,Sith,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sith
Ameé,Canon,Bureaucrat,N/A,Naboo,N/A,N/A,c. 54 BBY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Royal House of Naboo
Rahara Wick,Canon,Criminal,Human,Hosnian Prime,N/A,N/A,"c. 69 BBY, Hosnian Prime",N/A,new,new,new,new,new,N/A,N/A,Czerka Corporation
Elio,Canon,Jedi,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Jedi Order
Halin Azucca,Canon,N/A,Human,Pijal's moon,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Opposition
Meritt Col,Canon,Corporate,Human,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Czerka Corporation
Deren,Canon,N/A,Human,Pijal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pijali monarchy; Royal guard; Blackguard
Fanry,Canon,Bureaucrat,Human,Pijal,N/A,N/A,"54 BBY, Pijal",N/A,N/A,N/A,N/A,N/A,N/A,Rael Averross,N/A,Pijali monarchy
Orth,Canon,Bureaucrat,Human,Pijal,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Pijali monarchy; Assembly
Lamia,Canon,Bureaucrat,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pijali monarchy
Nim Pianna,Canon,Jedi,Tholothian,N/A,N/A,N/A,c. 62 BBY,"48 BBY, Advent",N/A,N/A,N/A,N/A,N/A,Rael Averross,N/A,Jedi Order
Jape,Canon,Jedi,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A Jedi Master,N/A,Jedi Order
Prie,Canon,Jedi,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Prie's Jedi Master,N/A,Jedi Order; Kybuck Clan
Jape's Jedi Master,Canon,Jedi,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Jape,Jedi Order
Prie's Jedi Master,Canon,Jedi,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Prie,Jedi Order
Kreeda,Canon,N/A,Segredo,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,N/A
Flebek,Canon,CIS,Meftian,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Confederacy of Independent Systems; Confederacy military
Unidentified court jeweler,Canon,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pijali monarchy
Shakara Nuress,Canon,Galactic Empire,Human,N/A,N/A,N/A,N/A,"4 ABY, Orbital One",new,new,new,new,new,N/A,N/A,Galactic Republic; Galactic Republic Navy; Galactic Empire; Imperial Navy's officer corps; 204th Imperial Fighter Wing
Soran Keize,Canon,Galactic Empire,Human,N/A,N/A,N/A,N/A,"5 ABY, Coruscant",new,new,new,new,new,N/A,N/A,Galactic Empire; Imperial Navy's officer corps; 204th Imperial Fighter Wing
Tonas,Canon,Galactic Empire,Human,N/A,N/A,N/A,N/A,"c. 4 ABY, Nacronis",new,new,new,new,new,N/A,N/A,Galactic Empire; 204th Imperial Fighter Wing
Barath,Canon,Galactic Empire,Human,N/A,N/A,N/A,N/A,"c. 4 ABY, Nacronis",new,new,new,new,new,N/A,N/A,Galactic Empire; 204th Imperial Fighter Wing
Shana,Canon,Galactic Empire,Human,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Galactic Empire; 204th Imperial Fighter Wing
Gratloe,Canon,Galactic Empire,Human,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Galactic Empire; Imperial Navy's officer corps; Gratloe's faction
Tong,Canon,Galactic Empire,Human,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Galactic Empire; 204th Imperial Fighter Wing
Unidentified Imperial captain (Summit),Canon,Galactic Empire,Human,N/A,N/A,N/A,N/A,"c. 3 ABY, aboard the Summit, Kudo system",new,new,new,new,new,N/A,N/A,Galactic Empire; Imperial Navy's officer corps
Venga Liss,Canon,Criminal,Aqualish,N/A,N/A,N/A,N/A,At some point during the reign of the Galactic Empire,new,new,new,new,new,N/A,N/A,Gillanium Syndicate
Kendoh Voss,Canon,Criminal,Human,Serenno,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Kendoh Voss' family; Kendoh Gang
Dar Champion,Canon,Bureaucrat,Human,Lanz Carpo,N/A,N/A,N/A,N/A,N/A,Dar Champion's father; Dar Champion's mother,Leia Skywalker Organa Solo,N/A,N/A,N/A,N/A,N/A
Agnon,Canon,First Order,Human,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,New Republic; First Order; 709th Legion
Remex Io,Canon,Criminal,Clawdite,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Kendoh Gang
Unidentified Imperial captain (IG-88),Canon,Galactic Empire,Human,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Galactic Empire; Imperial Army; Imperial Officer Corps
Wooro,Canon,Criminal,Aqualish,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,T'onga's crew; Bounty Hunters' Guild; Kendoh Gang
Unidentified First Order stormtrooper sergeant,Canon,First Order,Human,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,First Order; 709th Legion
Arnold,Canon,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,An Imperial officer,N/A,N/A,N/A,N/A,N/A,N/A
Bilf,Canon,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,An Imperial officer,N/A,N/A,N/A,N/A,N/A,N/A
Gerf,Canon,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,An Imperial officer,N/A,N/A,N/A,N/A,N/A,N/A
Jeef,Canon,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,An Imperial officer,N/A,N/A,N/A,N/A,N/A,N/A
Flip (Irff),Canon,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,An Imperial officer,N/A,N/A,N/A,N/A,N/A,N/A
Blip,Canon,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,An Imperial officer,N/A,N/A,N/A,N/A,N/A,N/A
Brit,Canon,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,An Imperial officer,N/A,N/A,N/A,N/A,N/A,N/A
Tera (Human),Legends,N/A,Human,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cady,Canon,N/A,Human,N/A,N/A,N/A,c. 56 BBY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Czerka Corporation; Pijali monarchy
Grruna Thu,Legends,N/A,Gamorrean,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Shrook Clan
Vols,Legends,Criminal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Gorgen
Master Aurek,Legends,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Committee for Renewal
Master Besh,Legends,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Committee for Renewal
Master Cresh,Legends,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Committee for Renewal
Master Dorn,Legends,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Committee for Renewal
Master Esk,Legends,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Committee for Renewal
Master Forn,Legends,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Committee for Renewal
Master Grek,Legends,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Committee for Renewal
Master Herf,Legends,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Committee for Renewal
Master Isk,Legends,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Committee for Renewal
Master Jenth,Legends,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Committee for Renewal
Reckly,Canon,N/A,Human,Pijal's moon,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Opposition
Bajjo,Canon,N/A,Human,Pijal's moon,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Opposition
Elissiar,Canon,Galactic Republic,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Galactic Republic
Unidentified Imperial officer (Irff),Canon,Galactic Empire,Human,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Brit; Blip; Flip; Jeef; Gerf; Bilf; Arnold,N/A,N/A,Galactic Empire; Imperial Officer Corps
Ottegan Leader,Canon,N/A,Ottegan,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,N/A
Unidentified Imperial doctor,Canon,Galactic Empire,Human,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Galactic Empire
Unidentified Imperial nurse,Canon,Galactic Empire,Human,N/A,N/A,N/A,N/A,"Between 1 BBY and 0 BBY, DS-1 Death Star Mobile Battle Station",new,new,new,new,new,N/A,N/A,Galactic Empire
Genzhor,Canon,N/A,N/A,N/A,N/A,N/A,N/A,"During the Imperial Era, I'vorcia Prime",new,new,new,new,new,N/A,N/A,N/A
Ooris,Canon,N/A,N/A,N/A,N/A,N/A,N/A,"c. 5 BBY, I'vorcia Prime",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Pax Maripher's parents,Canon,N/A,Human,N/A,N/A,N/A,N/A,Prior to 55 BBY,new,new,new,new,new,N/A,N/A,N/A
Kaluub Akjee,Canon,Criminal,Snivvian,N/A,N/A,N/A,N/A,By 4 ABY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Gillanium Syndicate
The Underlord,Canon,Criminal,Aqualish,N/A,N/A,N/A,N/A,During the Imperial Era,new,new,new,new,new,N/A,N/A,Gillanium Syndicate
Osika Kirske,Canon,Criminal,Vollick,N/A,N/A,N/A,N/A,"23 BBY, Rattatak",new,new,new,new,new,N/A,N/A,N/A
Bry,Canon,Criminal,Hoopaloo,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jorkat,Canon,Criminal,Karkarodon,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Restelly Quist,Canon,Jedi,N/A,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Jedi Order
Yula Braylon,Canon,Jedi,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Arath Tarrex,N/A,N/A,Jedi Order; Jedi High Council; Galactic Republic
Jenza,Canon,Bureaucrat,Human,Serenno,N/A,N/A,"c. 101 BBY, Serenno","c. 23 BBY, Serenno",House Serenno,Anya; Gora,N/A,Dooku; Ramil,N/A,N/A,N/A,N/A
Tavetti,Canon,Galactic Republic,Bivall,Protobranch,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Galactic Republic; Galactic Senate
Anya (Serenno),Canon,Bureaucrat,Human,Serenno,N/A,N/A,N/A,82 BBY,House Serenno,N/A,Gora,N/A,Ramil; Dooku; Jenza,N/A,N/A,N/A
Ramil,Canon,Bureaucrat,Human,Serenno,N/A,N/A,"c. 104 BBY, Serenno","42 BBY, Serenno",House Serenno,Anya; Gora,N/A,Dooku; Jenza,N/A,N/A,N/A,Ramil's droid army
Gora,Canon,Bureaucrat,Human,Serenno,N/A,N/A,N/A,Serenno,House Serenno,N/A,Anya,N/A,Ramil; Dooku; Jenza,N/A,N/A,N/A
Ekay,Canon,Bureaucrat,N/A,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Royal House of Naboo
Jor Aerith,Canon,Jedi,Mirialan,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Gretz Droom,Jedi Order; Jedi High Council
Gretz Droom,Canon,Jedi,N/A,N/A,N/A,N/A,c. 84 BBY,N/A,N/A,N/A,N/A,N/A,N/A,Jor Aerith,N/A,Jedi Order; Heliost Clan; Jedi High Council
Theenu,Legends,Jedi,Rodian,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Jedi Order; Galactic Republic
Sashana,Legends,Jedi,Mirialan,N/A,N/A,N/A,N/A,"3628 BBY, Ossus",new,new,new,new,new,N/A,N/A,Jedi Order; Galactic Republic
Dorrel,Canon,Jedi,Bith,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Jedi Order; Galactic Republic
Yola,Canon,Jedi,Miraluka,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,N/A
Serenno (individual),Canon,Bureaucrat,Human,Serenno,N/A,N/A,N/A,N/A,House Serenno,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sifo-Dyas' father,Canon,N/A,Human,Minashee,N/A,N/A,N/A,N/A,new,new,new,new,Sifo-Dyas,N/A,N/A,N/A
Darth Caldoth,Canon,Sith,Duros,Duro,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Darth Caldoth's master,Ry Nymbis,Sith
Darth Krall,Canon,Sith,Vollick,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Jedi Order; Lost Twenty; Sith
Bulgeski,Canon,Galactic Republic,Sallichen,Salliche,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Galactic Republic; Galactic Senate
Eorn,Canon,Jedi,Miraluka,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,N/A
Medeen,Legends,Jedi,Mirialan,N/A,N/A,N/A,N/A,"3628 BBY, Ossus",new,new,new,new,new,N/A,N/A,Jedi Order
Norjax Thall,Legends,Criminal,Human,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Flamestrike Legion; New Cov Biomolecule Company; Syndicate One
Lofre Yinne,Legends,Criminal,N/A,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Syndicate One
Oo'ob,Canon,N/A,Gigoran,N/A,N/A,N/A,N/A,Between c. 1000 BBY and c. 990 BBY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Jedi Order
Zingo Gabnit,Canon,Bounty hunter,N/A,N/A,N/A,N/A,N/A,"Between c. 2 BBY and 4 ABY, Carajam",N/A,N/A,N/A,N/A,N/A,N/A,N/A,Bounty Hunters' Guild
Turfitch,Canon,Criminal,Human,N/A,N/A,N/A,N/A,Between 2 BBY and 4 ABY,new,new,new,new,new,N/A,N/A,N/A
Talagian,Canon,Jedi,Gran,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Jedi Order; Galactic Republic
Velek (Serenno),Canon,Criminal,Askajian,N/A,N/A,Bulky,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Diva Shaliqua,Canon,N/A,Theelin half-breed,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Jabba Desilijic Tiure's criminal empire
Neb Ufentes,Legends,N/A,N/A,N/A,N/A,N/A,N/A,c. 9 ABY,new,new,new,new,new,N/A,N/A,N/A
Cev Malanx,Legends,Criminal,Human,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,N/A
Regec Sloom,Legends,Criminal,Human,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,N/A
Gwinnec Strov,Legends,N/A,Chadra-Fan,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Univamp StarParts
Ketas,Canon,Bureaucrat,Solodoe,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,N/A
Tanu,Canon,N/A,Solodoe,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,N/A
Raz Fellidrone,Canon,Galactic Republic,N/A,N/A,N/A,N/A,N/A,"Before 22 BBY, Serenno",new,new,new,new,new,N/A,N/A,Galactic Republic; Republic Intelligence
Thrar,Canon,N/A,Lepi,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,N/A
Karr Nuq Sin,Canon,N/A,Human,Merokia,N/A,N/A,"c. 15 ABY, Merokia",N/A,Nuq Sin family,Looway Nuq Sin; Tomar Nuq Sin,new,Trag,new,J'Hara,N/A,The Force
Arath Tarrex,Canon,Jedi,N/A,N/A,N/A,N/A,c. 102 BBY,N/A,N/A,Yula Braylon,new,N/A,N/A,N/A,N/A,Jedi Order; Hawk-Bat Clan; Galactic Republic
Rusl-Kwin,Canon,Galactic Empire,N/A,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Galactic Empire
Fafifeth,Canon,Rebel,N/A,N/A,N/A,N/A,N/A,During the Early rebellion against the Galactic Empire,new,new,new,new,new,N/A,N/A,Alliance to Restore the Republic
Zlarko,Canon,Rebel,N/A,N/A,N/A,N/A,N/A,During the Early rebellion against the Galactic Empire,new,new,new,new,new,N/A,N/A,Alliance to Restore the Republic
L'ry Ap'lton,Canon,Rebel,N/A,N/A,N/A,N/A,N/A,During the Early rebellion against the Galactic Empire,new,new,new,new,new,N/A,N/A,Alliance to Restore the Republic
Jezri,Canon,Rebel,N/A,N/A,N/A,N/A,N/A,During the Early rebellion against the Galactic Empire,new,new,new,new,new,N/A,N/A,Alliance to Restore the Republic
Voov,Canon,Rebel,N/A,N/A,N/A,N/A,N/A,During the Early rebellion against the Galactic Empire,new,new,new,new,new,N/A,N/A,Alliance to Restore the Republic
Neithi,Canon,Rebel,N/A,N/A,N/A,N/A,N/A,During the Early rebellion against the Galactic Empire,new,new,new,new,new,N/A,N/A,Alliance to Restore the Republic
Shir-Lax,Canon,Rebel,N/A,N/A,N/A,N/A,N/A,During the Early rebellion against the Galactic Empire,new,new,new,new,new,N/A,N/A,Alliance to Restore the Republic
Adega (Jedi),Legends,Jedi,Cathar,N/A,N/A,N/A,N/A,"3628 BBY, Ossus",new,new,new,new,new,N/A,N/A,Jedi Order; Galactic Republic
Darth Sakia,Canon,Sith,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sith
Exogorth (Agoliba-Tu system),Canon,Pet,Exogorth,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,N/A
Unidentified Republic commander (Talloran village),Legends,Galactic Republic,N/A,N/A,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Galactic Republic
Lenora Trazen,Legends,Sith Empire,Human,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sith Empire; Four-Hundred-Twenty-Fifth Special Infantry
